id,x,y,weight,class
0,157,174,54810,0.6379084967320261
1,162,147,15252,0.5895424836601307
2,139,80,13580,0.3869281045751634
3,66,224,16472,0.6418300653594771
4,157,226,19950,0.6601307189542484
5,99,176,18792,0.37516339869281046
6,144,5,43430,0.32941176470588235
7,98,132,23322,0.44575163398692813
8,220,28,41756,0.5150326797385621
9,245,146,75920,0.6993464052287582
10,175,253,18480,0.8875816993464053
11,164,37,22660,0.3437908496732026
12,251,234,7344,0.8941176470588236
13,122,76,27360,0.4640522875816993
14,79,89,22968,0.29673202614379085
15,154,148,28688,0.5320261437908497
16,217,121,15015,0.5986928104575163
17,148,45,32004,0.33856209150326794
18,1,123,39886,0.24836601307189543
19,27,46,2220,0.34901960784313724
20,217,168,11685,0.7934640522875818
21,157,230,50008,0.5281045751633987
22,49,208,24436,0.6339869281045751
23,215,4,8560,0.2901960784313726
24,131,74,28899,0.534640522875817
25,10,175,43560,0.5450980392156862
26,63,37,10693,0.15032679738562094
27,221,44,10500,0.5202614379084967
28,127,219,11772,0.5594771241830065
29,157,150,74976,0.7333333333333333
30,11,222,22288,0.6
31,130,49,23489,0.47843137254901963
32,123,110,53932,0.6052287581699347
33,155,57,14904,0.43137254901960786
34,171,229,21896,0.7568627450980392
35,47,145,25020,0.3673202614379085
36,210,83,5499,0.3934640522875817
37,170,112,23322,0.6091503267973857
38,191,167,24380,0.6039215686274509
39,174,68,31603,0.5281045751633987
40,106,130,21390,0.5673202614379085
41,150,160,38220,0.4091503267973856
42,210,176,15288,0.550326797385621
43,53,45,25080,0.26405228758169935
44,185,116,29205,0.5006535947712418
45,221,234,4018,0.6339869281045751
46,145,122,14404,0.39215686274509803
47,55,198,35912,0.3908496732026144
48,180,5,1332,0.5372549019607843
49,202,131,42453,0.5856209150326798
