id,x,y,weight,class,red,green,blue
0,120,169,29000,0.5816993464052288,120,169,156
1,107,254,8427,0.5947712418300654,107,254,94
2,248,197,40050,0.7555555555555555,248,197,133
3,229,118,41004,0.5777777777777778,229,118,95
4,44,219,18430,0.5385620915032681,44,219,149
5,201,24,42294,0.3032679738562091,201,24,7
6,230,94,11484,0.6941176470588235,230,94,207
7,246,177,2279,0.5620915032679739,246,177,7
8,236,6,18031,0.6352941176470588,236,6,244
9,251,245,27060,0.9006535947712417,251,245,193
10,2,28,31302,0.16470588235294117,2,28,96
11,190,94,38844,0.5581699346405229,190,94,143
12,231,85,3384,0.4392156862745098,231,85,20
13,194,91,17424,0.4235294117647059,194,91,39
14,91,123,26448,0.5673202614379085,91,123,220
15,71,208,77290,0.4117647058823529,71,208,36
16,54,127,56126,0.3058823529411765,54,127,53
17,226,22,8804,0.5215686274509804,226,22,151
18,68,14,59290,0.2901960784313726,68,14,140
19,61,12,19388,0.23006535947712417,61,12,103
20,59,8,39120,0.273202614379085,59,8,142
21,79,219,22264,0.6091503267973857,79,219,168
22,43,242,38376,0.4562091503267974,43,242,64
23,160,126,38226,0.6169934640522876,160,126,186
24,225,170,43512,0.5398692810457516,225,170,18
25,180,3,27900,0.5411764705882353,180,3,231
26,216,65,25704,0.6444444444444445,216,65,212
27,128,234,59095,0.6287581699346405,128,234,119
28,23,45,73968,0.1934640522875817,23,45,80
29,233,139,57135,0.6797385620915033,233,139,148
30,216,125,70531,0.6679738562091504,216,125,170
31,19,120,5376,0.330718954248366,19,120,114
32,31,121,8050,0.4130718954248366,31,121,164
33,19,151,19019,0.47843137254901963,19,151,196
34,168,180,7434,0.5228758169934641,168,180,52
35,35,156,11220,0.5751633986928104,35,156,249
36,22,170,8742,0.5254901960784314,22,170,210
37,149,134,18573,0.6509803921568628,149,134,215
38,94,25,5822,0.3712418300653595,94,25,165
39,128,196,4900,0.734640522875817,128,196,238
40,246,129,23744,0.6679738562091504,246,129,136
41,114,120,4212,0.5150326797385621,114,120,160
42,94,78,39550,0.5241830065359476,94,78,229
43,72,172,44020,0.36470588235294116,72,172,35
44,63,239,49922,0.6366013071895426,63,239,185
45,203,3,18540,0.32679738562091504,203,3,44
46,38,10,46920,0.3032679738562091,38,10,184
47,212,181,18725,0.803921568627451,212,181,222
48,83,229,22032,0.738562091503268,83,229,253
49,232,49,49020,0.5542483660130719,232,49,143
50,163,21,10258,0.31241830065359477,163,21,55
51,4,47,8925,0.3254901960784314,4,47,198
52,29,253,55380,0.54640522875817,29,253,136
53,3,112,8040,0.23790849673202613,3,112,67
54,246,18,30380,0.38300653594771245,246,18,29
55,244,167,3168,0.6823529411764706,244,167,111
56,134,28,52671,0.4287581699346405,134,28,166
57,66,147,5184,0.5032679738562091,66,147,172
58,68,147,28768,0.5633986928104575,68,147,216
59,86,176,15194,0.6718954248366014,86,176,252
60,128,92,18286,0.3503267973856209,128,92,48
61,254,137,19454,0.6143790849673202,254,137,79
62,175,219,16660,0.5607843137254902,175,219,35
63,237,44,2160,0.4235294117647059,237,44,43
64,17,115,14348,0.3712418300653595,17,115,152
65,201,199,2385,0.5869281045751633,201,199,49
66,44,176,38986,0.40261437908496733,44,176,88
67,70,120,68796,0.43529411764705883,70,120,143
68,121,2,3640,0.46143790849673205,121,2,230
69,62,220,22761,0.43529411764705883,62,220,51
70,195,232,13912,0.8235294117647058,195,232,203
71,207,232,23712,0.645751633986928,207,232,55
72,30,15,21918,0.38300653594771245,30,15,248
73,202,63,44880,0.41830065359477125,202,63,55
74,237,229,33232,0.9032679738562092,237,229,225
75,20,29,13132,0.25882352941176473,20,29,149
76,137,252,55539,0.7490196078431373,137,252,184
77,47,19,5700,0.24836601307189543,47,19,124
